Date,Location,Site,Observer,Depth (m),Visibility (m),Replicate,Interval,Genus,Species,Scientific Name,Count,Size Est (cm)
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Pomacentrus,moluccensis,Pomacentrus moluccensis,4.0,5.0
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Pomacentrus,adelus,Pomacentrus adelus,1.0,5.0
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Stethojulis,strigiventer,Stethojulis strigiventer,1.0,8.0
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Pomacentrus,vaiuli,Pomacentrus vaiuli,2.0,5.0
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,1.0,8.0
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,3.0,30-0,Pomacentrus,bankanensis,Pomacentrus bankanensis,1.0,3.0
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,3.0,30-0,Stegastes,fasciolatus,Stegastes fasciolatus,1.0,9.0
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,3.0,30-0,Chrysiptera,rex,Chrysiptera rex,2.0,4.0
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,3.0,30-0,Pomacentrus,coelestis,Pomacentrus coelestis,2.0,3.0
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Halichoeres,marginatus,Halichoeres marginatus,1.0,8.0
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Plectroglyphidodon,lacrymatus,Plectroglyphidodon lacrymatus,2.0,8.0
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Pomacentrus,adelus,Pomacentrus adelus,2.0,7.0
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Pomacentrus,coelestis,Pomacentrus coelestis,7.0,3.0
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Chrysiptera,rex,Chrysiptera rex,5.0,4.0
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Pomacentrus,vaiuli,Pomacentrus vaiuli,5.0,6.0
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Thalassoma,lunare,Thalassoma lunare,1.0,9.0
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Halichoeres,melanurus,Halichoeres melanurus,1.0,5.0
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Acanthochromis,polyacanthus,Acanthochromis polyacanthus,1.0,10.0
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,bankanensis,Pomacentrus bankanensis,2.0,5.0
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Stethojulis,strigiventer,Stethojulis strigiventer,1.0,13.0
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Zanclus,cornutus,Zanclus cornutus,1.0,11.0
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Stegastes,fasciolatus,Stegastes fasciolatus,2.0,8.0
